Issue Date,Syndicate Desk,Syndicate Region,Country,Issuer,ISIN,Issuer Category,Sector,Currency,Size (EUR m),Tenor,Seniority,Coupon,IPTs,Spread at Launch (bps),Guidance,Price Tightening,Books Guide,Books Launch,Books Final,Oversubscription,New Issue Premium (bps),BNP Role,BNP Active,Sustainable
2025-01-09,Hong Kong,Asia-Pacific,Hong Kong,Health Innovations,HKVLC5AALIR6,Corporate,Technology,HKD,494.54,3,Senior Unsecured,Fixed,7.79,85.01,7.78,0.01,642.9,964.35,1092.93,1.34,9.14,None,True,False
2021-03-25,Hong Kong,Asia-Pacific,China,Bank of China Banking Corp,CNYWLKLQBXX0,FIG,Insurance,CNY,291.67,20,Senior Preferred,Floating,2.07,73.9,2.07,0.0,437.5,787.5,875.0,1.13,48.15,None,True,False
2022-01-13,New York,Americas,USA,Industrial Innovations,US2AOBLJ0UA6,Corporate,Healthcare,USD,501.28,1,Senior Unsecured,Floating,5.52,120.39,5.5,0.02,651.66,977.49,1107.82,1.74,11.29,Co-Manager,True,False
2020-05-12,Hong Kong,Asia-Pacific,China,CCB Financial,CNXNS8EHIVM6,FIG,Insurance,CNY,137.13,5,Tier 2,Fixed,4.66,117.4,4.58,0.08,205.69,370.24,411.38,4.17,24.35,Passive,True,False
2024-03-02,London,EMEA,Saudi Arabia,Global Corporation,SAJUWMW3M4D2,Corporate,Oil & Gas,EUR,253.42,5,Senior Unsecured,Fixed,2.95,147.78,2.8,0.15,329.45,494.17,560.06,4.15,32.88,Passive,True,False
2025-01-04,New York,Americas,Mexico,Engineering Systems,MX87OZYMUZZ6,Corporate,Industrial,USD,180.97,10,Senior Unsecured,Zero-Coupon,2.9,105.43,2.89,0.01,235.26,352.89,399.94,1.41,25.59,None,True,False
2023-01-10,London,EMEA,France,Société du Grand Paris,FRPYA2OTKQX9,SSA,Sovereign,GBP,1492.1,3,Senior Unsecured,Floating,6.04,48.17,5.99,0.05,2685.78,5908.72,6714.45,3.0,28.19,Passive Bookrunner,True,False
2025-02-28,London,EMEA,UK,Industrial Innovations,GBDTPRTZUF09,Corporate,Industrial,CHF,261.13,10,Senior Unsecured,Fixed,3.1,195.21,2.98,0.12,339.47,509.21,577.1,3.57,49.62,Active Bookrunner,True,False
2022-07-23,London,EMEA,Saudi Arabia,Metropolitan Banking Corp,SAV6AOUSX9D6,FIG,Asset Management,USD,139.11,30,Senior Preferred,Fixed,5.3,91.64,5.28,0.02,208.67,375.61,417.34,1.87,9.72,Documentation Agent,False,True
2020-02-08,London,EMEA,Switzerland,Cyber Solutions,CHHI8H7PR284,Corporate,Consumer,EUR,86.84,5,Senior Unsecured,Fixed,7.96,132.23,7.88,0.08,112.89,169.34,191.91,4.63,48.89,None,False,True
2022-12-28,New York,Americas,Canada,Global Financial,CA3PPE690CW0,FIG,Insurance,USD,269.13,5,Senior Non-Preferred,Floating,3.97,162.11,3.87,0.1,403.69,726.64,807.38,3.21,14.43,Documentation Agent,True,False
2021-10-13,New York,Americas,USA,JP Holdings,USLR452E52D4,FIG,Asset Management,CAD,233.8,1,Additional Tier 1,Fixed,6.82,64.31,6.81,0.01,350.7,631.26,701.4,1.35,29.01,None,True,False
2022-06-27,London,EMEA,France,Global Solutions,FRKPVI2C7RW1,Corporate,Utilities,CHF,126.19,10,Senior Secured,Fixed,2.29,132.55,2.23,0.06,164.05,246.08,278.88,3.84,19.92,Passive Bookrunner,False,True
2022-02-12,London,EMEA,Netherlands,Metropolitan Financial,NL06AWKZCZV9,FIG,Asset Management,EUR,265.38,30,Senior Non-Preferred,Zero-Coupon,2.18,180.11,2.16,0.02,398.07,716.53,796.14,1.42,20.33,None,True,False
2021-08-23,New York,Americas,USA,Brands Systems,USFO1NNJ5RX1,Corporate,Technology,EUR,66.08,7,Junior Subordinated,Fixed,3.08,142.78,3.07,0.01,85.9,128.85,146.03,1.16,41.36,None,False,True
2025-02-20,New York,Americas,USA,Bank of Holdings,USFQGSEM2FI8,FIG,Insurance,USD,189.27,5,Tier 2,Fixed,4.15,57.63,4.06,0.09,283.91,511.04,567.82,3.42,17.28,Passive,False,False
2025-01-24,New York,Americas,USA,Manufacturing Solutions,US41G877FXV0,Corporate,Consumer,MXN,332.94,10,Senior Unsecured,Fixed,7.56,217.4,7.56,0.0,432.82,649.23,735.79,1.07,9.6,None,True,False
2021-02-13,Hong Kong,Asia-Pacific,South Korea,Metropolitan Holdings,KRJQOQ0WTGX8,FIG,Banks,USD,301.33,20,Senior Non-Preferred,Zero-Coupon,6.04,169.75,6.01,0.03,452.0,813.6,904.0,1.91,35.04,None,True,False
2022-12-21,Hong Kong,Asia-Pacific,Hong Kong,Cloud Corporation,HKLLMRNUZA12,Corporate,Technology,HKD,211.68,3,Senior Unsecured,Fixed,2.09,118.76,2.08,0.01,275.18,412.77,467.81,1.27,25.69,Active Bookrunner,True,False
2025-02-22,Hong Kong,Asia-Pacific,China,Bio Systems,CNVTFHAKROW9,Corporate,Consumer,USD,542.88,3,Senior Unsecured,Floating,5.19,92.72,5.12,0.07,705.74,1058.61,1199.76,3.7,16.27,Co-Manager,True,False
2022-10-25,London,EMEA,Netherlands,Global Financial,NLLMQ4VBGR30,FIG,Insurance,EUR,112.29,30,Senior Preferred,Fixed,5.72,128.83,5.67,0.05,168.44,303.19,336.88,2.35,46.89,None,True,False
2020-03-02,Hong Kong,Asia-Pacific,China,ABC Banking Corp,CN5WDFR8V3A1,FIG,Insurance,JPY,197.29,3,Senior Preferred,Fixed,4.85,75.74,4.77,0.08,295.94,532.69,591.88,4.96,10.68,None,False,True
2022-05-03,London,EMEA,UK,Industrial Solutions,GBPYBUXHWRR9,Corporate,Utilities,EUR,368.93,10,Senior Unsecured,Fixed,3.11,184.35,3.05,0.06,479.61,719.41,815.34,2.36,36.5,None,True,True
2021-11-19,London,EMEA,Switzerland,Retail Corporation,CHM2H0CNWQ21,Corporate,Consumer,EUR,179.57,5,Senior Secured,Floating,5.69,171.27,5.57,0.12,233.44,350.16,396.85,4.78,36.47,Passive Bookrunner,True,False
2025-01-21,Hong Kong,Asia-Pacific,Singapore,Digital Innovations,SGCAUT3XRBX9,Corporate,Industrial,CNY,121.06,7,Senior Subordinated,Fixed,5.78,126.84,5.72,0.06,157.38,236.07,267.55,2.91,11.1,Documentation Agent,True,False
2023-05-30,London,EMEA,Germany,Engineering Innovations,DE6DKFLAB0Q5,Corporate,Industrial,USD,82.92,3,Senior Unsecured,Fixed,5.76,101.99,5.65,0.11,107.8,161.7,183.26,4.41,48.69,Co-Manager,True,False
2025-01-09,Hong Kong,Asia-Pacific,Singapore,Consumer Corporation,SG7FD2YBNMZ6,Corporate,Healthcare,JPY,566.52,5,Senior Unsecured,Fixed,7.96,211.35,7.92,0.04,736.48,1104.72,1252.02,2.26,45.93,Passive Bookrunner,True,True
2021-03-18,Hong Kong,Asia-Pacific,Hong Kong,Metropolitan Holdings,HKF3UZ3AOEA6,FIG,Financial Services,CNY,241.25,3,Tier 2,Fixed,4.53,96.38,4.51,0.02,361.88,651.38,723.76,1.51,27.15,None,False,True
2024-03-19,New York,Americas,Canada,Retail Corporation,CAK5X6G2KRT0,Corporate,Healthcare,EUR,125.38,7,Senior Unsecured,Fixed,2.15,97.61,2.11,0.04,162.99,244.49,277.08,1.92,18.17,None,True,False
2023-11-13,Hong Kong,Asia-Pacific,Japan,Nomura Holdings,JPJC7R1QOOH2,FIG,Banks,CNY,297.69,10,Tier 2,Fixed,7.69,137.19,7.68,0.01,446.53,803.75,893.06,1.2,18.15,Passive Bookrunner,False,False
2022-03-05,New York,Americas,USA,Goldman Financial,US8S7YVR0DH0,FIG,Asset Management,EUR,335.88,1,Additional Tier 1,Zero-Coupon,3.68,138.99,3.62,0.06,503.82,906.88,1007.64,3.86,11.55,None,True,True
2024-06-25,Hong Kong,Asia-Pacific,Hong Kong,Cyber Systems,HKOR2TYZC5H8,Corporate,Technology,CNY,77.65,5,Senior Unsecured,Fixed,5.05,122.33,5.04,0.01,100.95,151.43,171.62,1.3,28.51,Global Coordinator,True,True
2020-10-05,Hong Kong,Asia-Pacific,Hong Kong,Health Corporation,HK7NQR3TB8V2,Corporate,Industrial,USD,96.27,3,Senior Unsecured,Zero-Coupon,4.55,88.9,4.39,0.16,125.15,187.73,212.75,4.2,30.59,Co-Manager,True,True
2025-01-22,New York,Americas,USA,Consumer Systems,USB8TNJXCML2,Corporate,Healthcare,MXN,378.18,10,Senior Unsecured,Fixed,4.4,199.48,4.38,0.02,491.63,737.44,835.77,1.57,26.69,None,True,False
2023-07-13,New York,Americas,USA,Retail Solutions,USFSH6QRNV33,Corporate,Consumer,EUR,418.68,3,Senior Unsecured,Zero-Coupon,4.56,147.81,4.48,0.08,544.28,816.42,925.28,4.87,41.82,Co-Manager,False,False
2023-07-15,Hong Kong,Asia-Pacific,Japan,SMFG Banking Corp,JPGRRQ01E1K5,FIG,Financial Services,CNY,284.8,5,Senior Preferred,Fixed,6.96,75.13,6.88,0.08,427.2,768.96,854.4,3.87,35.38,Co-Manager,True,False
2024-03-18,London,EMEA,Saudi Arabia,Global Corporation,SA267YURNZP6,Corporate,Oil & Gas,EUR,83.47,10,Senior Unsecured,Fixed,3.73,189.87,3.71,0.02,108.51,162.77,184.47,2.06,11.86,Co-Manager,True,False
2020-08-04,New York,Americas,USA,JP Group,USDCJ9ZQNKY6,FIG,Asset Management,USD,256.13,20,Senior Preferred,Floating,2.58,187.94,2.57,0.01,384.19,691.54,768.38,1.28,23.86,None,True,False
2025-02-25,London,EMEA,United Arab Emirates,Global Systems,AEHLSZM6VDU7,Corporate,Oil & Gas,EUR,604.49,20,Junior Subordinated,Fixed,3.7,97.31,3.55,0.15,785.84,1178.76,1335.93,4.33,14.35,Active Bookrunner,True,False
2022-09-11,London,EMEA,Saudi Arabia,Global Corporation,SAVFZYKBB5Y2,Corporate,Oil & Gas,USD,109.59,5,Senior Secured,Fixed,2.14,191.87,2.05,0.09,142.47,213.7,242.2,4.06,27.3,Co-Manager,True,False
2020-04-06,London,EMEA,UK,Global Solutions,GBV163DC0VS9,Corporate,Utilities,EUR,101.28,1,Senior Subordinated,Floating,5.19,201.01,5.18,0.01,131.66,197.49,223.82,1.18,15.38,Documentation Agent,True,False
2023-01-24,New York,Americas,Mexico,Engineering Corporation,MXWPD1OTXS32,Corporate,Technology,USD,617.17,5,Senior Unsecured,Fixed,3.54,124.77,3.5,0.04,802.32,1203.48,1363.94,2.83,37.3,None,True,False
2025-01-17,London,EMEA,Germany,Global Corporation,DE7VWKFU90F6,Corporate,Consumer,USD,232.42,10,Senior Unsecured,Fixed,4.87,154.27,4.75,0.12,302.15,453.22,513.65,4.47,44.14,Passive,True,True
2021-06-04,New York,Americas,Canada,Digital Corporation,CA52F7GFPPS8,Corporate,Healthcare,USD,227.83,10,Senior Unsecured,Fixed,5.84,228.4,5.73,0.11,296.18,444.27,503.51,3.7,5.03,Co-Manager,True,False
2025-01-21,London,EMEA,Netherlands,Global Banking Corp,NLRKTGU8TL74,FIG,Banks,GBP,298.64,7,Senior Preferred,Fixed,6.94,95.19,6.83,0.11,447.96,806.33,895.92,3.36,22.84,Global Coordinator,True,False
2024-07-05,Hong Kong,Asia-Pacific,China,Bank of China Group,CNVJVWSQ4RX0,FIG,Insurance,USD,116.07,10,Senior Preferred,Fixed,5.86,115.9,5.8,0.06,174.1,313.38,348.2,2.57,12.69,Passive Bookrunner,True,False
2022-09-18,Hong Kong,Asia-Pacific,Japan,Medical Systems,JPAGB2RH7326,Corporate,Healthcare,USD,328.86,10,Junior Subordinated,Fixed,3.96,204.03,3.82,0.14,427.52,641.28,726.78,4.54,39.32,Active Bookrunner,True,False
2024-11-20,New York,Americas,Mexico,Bio Innovations,MXNK7HLCNPT8,Corporate,Consumer,USD,403.95,7,Senior Subordinated,Fixed,7.56,169.62,7.43,0.13,525.13,787.69,892.72,3.62,43.46,Passive,True,False
2022-06-04,Hong Kong,Asia-Pacific,Hong Kong,Consumer Corporation,HK76KF5O2UX4,Corporate,Consumer,JPY,64.25,1,Senior Unsecured,Fixed,6.8,149.92,6.74,0.06,83.53,125.3,142.0,2.44,28.94,Passive,True,True
2022-10-27,Hong Kong,Asia-Pacific,Hong Kong,Engineering Solutions,HKI064VJ2MW0,Corporate,Technology,USD,200.79,30,Senior Secured,Fixed,2.8,298.53,2.74,0.06,261.03,391.54,443.75,3.79,6.04,Passive Bookrunner,True,False
2022-03-08,London,EMEA,UK,Global Systems,GBIR41G20DF5,Corporate,Industrial,EUR,158.67,5,Senior Unsecured,Floating,4.28,91.47,4.25,0.03,206.27,309.41,350.66,1.73,7.3,Passive Bookrunner,False,False
2024-12-03,New York,Americas,Mexico,Health Corporation,MX3WVLCX7MM3,Corporate,Industrial,USD,294.72,3,Senior Unsecured,Fixed,3.5,188.96,3.48,0.02,383.14,574.71,651.34,1.38,35.05,None,True,False
2025-01-03,London,EMEA,France,Consumer Solutions,FRSS2PFV7PI9,Corporate,Industrial,CHF,411.46,5,Senior Unsecured,Fixed,4.01,191.53,3.89,0.12,534.9,802.35,909.33,3.85,29.29,Passive Bookrunner,False,True
2024-09-05,London,EMEA,UK,Brands Innovations,GB17TBS4DKF2,Corporate,Consumer,EUR,87.49,7,Senior Unsecured,Fixed,3.48,132.04,3.46,0.02,113.74,170.61,193.36,1.53,22.04,Passive Bookrunner,True,False
2025-01-18,London,EMEA,UK,Retail Solutions,GBKPWI25Y4X9,Corporate,Utilities,USD,229.6,10,Senior Secured,Fixed,4.81,227.26,4.79,0.02,298.48,447.72,507.42,1.51,41.4,Global Coordinator,True,True
2021-03-28,London,EMEA,Netherlands,Cyber Innovations,NLFVIUCLHQ21,Corporate,Healthcare,USD,288.36,10,Senior Unsecured,Floating,2.49,123.25,2.42,0.07,374.87,562.31,637.28,4.45,7.3,Co-Manager,True,True
2024-05-07,London,EMEA,United Arab Emirates,Metropolitan Holdings,AEW5GLO1BXB0,FIG,Asset Management,EUR,237.95,10,Senior Preferred,Fixed,6.27,121.53,6.24,0.03,356.92,642.46,713.84,1.58,9.33,Active Bookrunner,True,False
2024-09-23,London,EMEA,UK,Global Corporation,GBLFDTTNIBT3,Corporate,Utilities,EUR,473.93,5,Senior Secured,Fixed,6.06,174.62,5.95,0.11,616.11,924.16,1047.39,3.72,49.57,Active Bookrunner,True,False
2021-08-13,London,EMEA,UK,Global Solutions,GBZDBRAEIU50,Corporate,Industrial,EUR,62.11,10,Senior Subordinated,Fixed,2.48,136.54,2.44,0.04,80.74,121.11,137.26,2.06,47.06,Co-Manager,True,False
2025-02-15,New York,Americas,Mexico,Pharma Innovations,MX3YYS14IMD6,Corporate,Technology,USD,324.74,3,Senior Unsecured,Fixed,6.48,173.07,6.41,0.07,422.16,633.24,717.67,4.29,14.78,None,True,False
2024-06-08,Hong Kong,Asia-Pacific,Japan,Mizuho Holdings,JPA8D2ODKWD2,FIG,Banks,USD,298.07,10,Senior Preferred,Zero-Coupon,3.57,94.87,3.57,0.0,447.11,804.8,894.22,1.11,29.24,Passive Bookrunner,True,False
2021-01-01,London,EMEA,France,Global Holdings,FRVXOI41UG89,FIG,Financial Services,CHF,215.47,5,Senior Preferred,Fixed,4.26,64.37,4.17,0.09,323.2,581.76,646.4,4.75,29.44,Documentation Agent,False,False
2024-07-19,London,EMEA,Netherlands,Metropolitan Banking Corp,NL4RYS04SJU4,FIG,Banks,EUR,322.28,5,Senior Preferred,Fixed,4.46,110.15,4.42,0.04,483.42,870.16,966.84,2.34,9.27,Passive,False,False
2021-01-23,London,EMEA,Germany,Global Solutions,DE5DO3GQ83Q2,Corporate,Consumer,USD,370.48,20,Senior Unsecured,Fixed,7.04,216.49,7.0,0.04,481.62,722.43,818.75,1.85,34.17,None,True,False
2025-01-03,London,EMEA,France,Brands Systems,FRGYGO2YPE41,Corporate,Consumer,USD,431.92,10,Senior Unsecured,Fixed,6.04,138.02,5.94,0.1,561.5,842.25,954.55,3.41,39.94,Co-Manager,False,True
2020-10-03,London,EMEA,Saudi Arabia,Metropolitan Holdings,SA9HWFL8MPJ9,FIG,Asset Management,USD,275.63,10,Tier 2,Zero-Coupon,6.99,163.1,6.84,0.15,413.44,744.19,826.88,4.33,45.71,Passive Bookrunner,True,False
2024-03-22,London,EMEA,UK,Global Systems,GBH1JILHBI67,Corporate,Utilities,EUR,389.36,5,Senior Subordinated,Fixed,4.79,80.36,4.67,0.12,506.17,759.25,860.49,3.52,49.34,None,False,False
2023-03-05,Hong Kong,Asia-Pacific,Hong Kong,Consumer Innovations,HKCH8Q7QRER3,Corporate,Consumer,CNY,144.31,10,Senior Unsecured,Fixed,5.15,204.63,5.02,0.13,187.6,281.4,318.92,4.17,7.76,Active Bookrunner,False,True
2025-02-19,Hong Kong,Asia-Pacific,China,ICBC Financial,CN1T4F9BYI45,FIG,Financial Services,USD,309.42,3,Tier 2,Fixed,2.39,53.35,2.32,0.07,464.13,835.43,928.26,2.35,41.12,Global Coordinator,True,False
2024-06-26,London,EMEA,Germany,Engineering Innovations,DELDWC6G4Y31,Corporate,Consumer,EUR,327.43,3,Senior Unsecured,Zero-Coupon,2.21,125.67,2.11,0.1,425.66,638.49,723.62,4.83,22.17,Passive Bookrunner,True,True
2023-09-07,Hong Kong,Asia-Pacific,China,Consumer Corporation,CN32GY422KK2,Corporate,Healthcare,HKD,319.17,5,Senior Unsecured,Fixed,5.1,112.08,4.98,0.12,414.92,622.38,705.36,3.42,26.27,None,True,True
2020-02-14,New York,Americas,USA,Consumer Systems,US0G78TMQH30,Corporate,Consumer,EUR,589.34,10,Senior Unsecured,Fixed,7.43,131.23,7.32,0.11,766.14,1149.21,1302.44,4.49,19.52,Global Coordinator,False,False
2022-05-15,London,EMEA,Germany,Retail Systems,DEESQ790VON6,Corporate,Consumer,EUR,365.36,5,Senior Subordinated,Fixed,7.23,83.08,7.12,0.11,474.97,712.46,807.45,4.47,43.08,None,False,False
2025-01-21,New York,Americas,USA,Manufacturing Systems,USRMPLXC0PA1,Corporate,Consumer,USD,426.55,5,Senior Unsecured,Zero-Coupon,5.66,148.66,5.58,0.08,554.51,831.76,942.67,3.56,5.84,Passive,False,True
2025-01-13,New York,Americas,USA,Goldman Banking Corp,USB30JGUC3T2,FIG,Banks,USD,120.1,3,Tier 2,Floating,5.23,97.42,5.06,0.17,180.15,324.27,360.3,4.49,12.76,Documentation Agent,True,False
2025-01-28,London,EMEA,Germany,Continental Banking Corp,DEUBNLMA4AC2,FIG,Asset Management,EUR,321.32,1,Senior Preferred,Zero-Coupon,7.16,122.82,7.13,0.03,481.98,867.56,963.96,1.59,25.68,Passive,True,False
2020-04-07,Hong Kong,Asia-Pacific,China,Industrial Systems,CNWJSV0ZITY2,Corporate,Healthcare,HKD,89.95,10,Senior Unsecured,Fixed,7.3,127.39,7.14,0.16,116.94,175.41,198.8,4.35,43.99,Passive,True,False
2024-05-14,New York,Americas,Brazil,Continental Financial,BRT5RR284WY3,FIG,Insurance,USD,269.69,5,Senior Non-Preferred,Fixed,6.95,80.17,6.95,0.0,404.53,728.15,809.06,1.11,22.52,Co-Manager,True,False
2021-03-08,London,EMEA,UK,Global Solutions,GBDLQH1CV2X0,Corporate,Consumer,EUR,253.08,5,Senior Unsecured,Fixed,3.46,168.04,3.29,0.17,329.0,493.5,559.3,4.93,24.02,Documentation Agent,False,False
2020-06-28,New York,Americas,USA,Industrial Solutions,US8JB90C03V5,Corporate,Industrial,EUR,497.13,3,Senior Secured,Floating,5.01,200.33,4.91,0.1,646.27,969.4,1098.66,4.0,23.08,Co-Manager,True,True
2024-01-21,New York,Americas,Canada,Continental Banking Corp,CAVOX2N5ZAN2,FIG,Asset Management,MXN,239.69,10,Senior Preferred,Floating,6.21,79.39,6.15,0.06,359.53,647.15,719.06,3.77,36.7,Co-Manager,False,True
2024-10-03,New York,Americas,USA,Goldman Banking Corp,USC5TNLL5HV1,FIG,Asset Management,USD,191.04,10,Tier 2,Fixed,3.96,166.84,3.94,0.02,286.56,515.81,573.12,2.05,38.58,Co-Manager,False,False
2021-02-16,New York,Americas,Brazil,Global Holdings,BRO75RDDHNS3,FIG,Asset Management,USD,178.09,30,Tier 2,Fixed,2.47,154.08,2.44,0.03,267.13,480.83,534.26,1.84,29.21,None,True,False
2023-03-13,Hong Kong,Asia-Pacific,Japan,Nomura Financial,JP978TNMS556,FIG,Insurance,CNY,179.31,7,Senior Preferred,Floating,5.43,60.42,5.34,0.09,268.97,484.15,537.94,3.19,7.5,None,True,True
2020-03-01,New York,Americas,Canada,Continental Holdings,CA5U0I1BV7G8,FIG,Financial Services,CAD,206.44,5,Senior Preferred,Fixed,2.5,75.38,2.39,0.11,309.66,557.39,619.32,4.53,7.43,Passive,True,True
2023-03-26,New York,Americas,Chile,Continental Financial,XX0MTXLQ0ZI4,FIG,Banks,EUR,282.37,7,Senior Preferred,Zero-Coupon,7.15,61.98,7.08,0.07,423.56,762.41,847.12,3.39,18.81,Passive Bookrunner,True,False
2023-03-23,New York,Americas,USA,Pharma Innovations,USC14ZSEXE06,Corporate,Healthcare,USD,401.67,20,Senior Unsecured,Fixed,4.29,258.8,4.18,0.11,522.17,783.25,887.69,3.47,6.37,Passive Bookrunner,True,False
2025-02-18,Hong Kong,Asia-Pacific,South Korea,Continental Financial,KR8MEEWBHFB7,FIG,Financial Services,HKD,171.67,5,Senior Preferred,Fixed,2.53,142.07,2.47,0.06,257.5,463.5,515.0,2.34,19.9,Co-Manager,False,True
2025-02-05,New York,Americas,Canada,Government of Canada,CAG7GA245J86,SSA,Sovereign,USD,1155.46,10,Senior Unsecured,Floating,5.81,27.09,5.66,0.15,2079.83,4575.63,5199.57,4.89,22.65,Active Bookrunner,True,False
2021-03-31,New York,Americas,Brazil,Continental Holdings,BRP5MZ6W3CO0,FIG,Insurance,EUR,116.91,3,Tier 2,Fixed,4.29,114.36,4.16,0.13,175.37,315.67,350.74,4.69,34.94,Passive,False,False
2020-07-18,Hong Kong,Asia-Pacific,Hong Kong,Health Systems,HK210U8ULV14,Corporate,Industrial,CNY,123.59,5,Senior Secured,Floating,4.85,122.5,4.74,0.11,160.67,241.0,273.14,3.56,14.95,Passive,False,False
2020-09-02,Hong Kong,Asia-Pacific,Singapore,Engineering Solutions,SGNXVG17TG58,Corporate,Technology,USD,140.28,1,Senior Subordinated,Fixed,4.56,181.1,4.44,0.12,182.36,273.54,310.01,3.91,26.82,None,False,False
2020-08-17,Hong Kong,Asia-Pacific,Singapore,Engineering Corporation,SGRFIWCR6YZ9,Corporate,Consumer,USD,295.53,30,Senior Secured,Fixed,7.82,286.07,7.75,0.07,384.19,576.28,653.12,2.54,24.28,Passive Bookrunner,True,False
2024-02-17,New York,Americas,USA,Bio Innovations,US12P5WPVI00,Corporate,Technology,EUR,259.77,1,Senior Unsecured,Fixed,4.85,108.28,4.79,0.06,337.7,506.55,574.09,3.56,10.68,Co-Manager,True,False
2020-10-03,Hong Kong,Asia-Pacific,China,Government of China,CNXBCWSBAH68,SSA,Sovereign,CNY,1290.06,5,Senior Unsecured,Floating,4.25,53.59,4.14,0.11,2322.11,5108.64,5805.28,4.52,26.87,Global Coordinator,False,False
2024-01-28,Hong Kong,Asia-Pacific,China,Tech Innovations,CN09WEEW0OZ4,Corporate,Consumer,USD,491.55,3,Senior Unsecured,Floating,3.02,122.29,3.0,0.02,639.01,958.51,1086.32,1.34,19.44,Co-Manager,True,True
2021-05-31,New York,Americas,Brazil,Cloud Systems,BRNPHVOXJ0A8,Corporate,Technology,USD,452.17,10,Senior Subordinated,Fixed,2.39,104.9,2.33,0.06,587.82,881.73,999.29,2.93,35.49,Passive Bookrunner,True,False
2024-03-20,Hong Kong,Asia-Pacific,Japan,Government of Japan,JPI2MUJQM2U0,SSA,Sovereign,USD,777.76,10,Senior Unsecured,Floating,5.83,31.82,5.77,0.06,1399.97,3079.93,3499.93,2.22,26.18,Passive Bookrunner,True,False
2020-08-14,New York,Americas,Canada,Cyber Systems,CA8YKEHVQ9X1,Corporate,Healthcare,USD,177.01,30,Senior Unsecured,Fixed,7.37,131.03,7.33,0.04,230.11,345.17,391.19,2.05,20.86,Passive,True,False
2025-02-17,London,EMEA,Germany,Retail Systems,DEXQWLIFNNT9,Corporate,Consumer,EUR,339.33,5,Senior Unsecured,Floating,5.19,92.39,5.05,0.14,441.13,661.69,749.92,4.64,13.7,Co-Manager,True,False
2022-11-07,Hong Kong,Asia-Pacific,South Korea,Cyber Systems,KRQZJ9YR33I4,Corporate,Consumer,JPY,283.19,5,Senior Subordinated,Fixed,6.6,102.73,6.59,0.01,368.15,552.22,625.85,1.15,42.11,None,False,False
2025-02-08,London,EMEA,Switzerland,Global Financial,CHJBTZGTLD62,FIG,Insurance,USD,326.47,5,Senior Preferred,Fixed,7.99,80.18,7.88,0.11,489.71,881.48,979.42,4.16,44.56,Passive Bookrunner,False,False
